# Barometric pressure sampled every five minutes over 24 hours.
# Columns: start_ts, end_ts, value (float, hPa).
# 288 contiguous five-minute intervals starting at t=0.
0,300,1013.05
300,600,1013.36
600,900,1013.66
900,1200,1013.55
1200,1500,1013.86
1500,1800,1013.74
1800,2100,1014.05
2100,2400,1013.94
2400,2700,1014.24
2700,3000,1014.13
3000,3300,1014.43
3300,3600,1014.32
3600,3900,1014.62
3900,4200,1014.50
4200,4500,1014.81
4500,4800,1014.69
4800,5100,1014.99
5100,5400,1014.87
5400,5700,1015.17
5700,6000,1015.05
6000,6300,1015.35
6300,6600,1015.22
6600,6900,1015.50
6900,7200,1015.79
7200,7500,1015.67
7500,7800,1015.96
7800,8100,1015.83
8100,8400,1016.12
8400,8700,1015.99
8700,9000,1016.28
9000,9300,1016.15
9300,9600,1016.43
9600,9900,1016.30
9900,10200,1016.58
10200,10500,1016.44
10500,10800,1016.72
10800,11100,1016.58
11100,11400,1016.86
11400,11700,1016.72
11700,12000,1016.99
12000,12300,1016.84
12300,12600,1017.11
12600,12900,1017.38
12900,13200,1017.23
13200,13500,1017.47
13500,13800,1017.32
13800,14100,1017.58
14100,14400,1017.42
14400,14700,1017.68
14700,15000,1017.51
15000,15300,1017.77
15300,15600,1017.60
15600,15900,1017.85
15900,16200,1017.68
16200,16500,1017.93
16500,16800,1017.75
16800,17100,1017.99
17100,17400,1017.81
17400,17700,1018.05
17700,18000,1017.87
18000,18300,1018.10
18300,18600,1018.34
18600,18900,1018.15
18900,19200,1018.37
19200,19500,1018.18
19500,19800,1018.38
19800,20100,1018.19
20100,20400,1018.41
20400,20700,1018.20
20700,21000,1018.42
21000,21300,1018.21
21300,21600,1018.42
21600,21900,1018.21
21900,22200,1018.42
22200,22500,1018.20
22500,22800,1018.40
22800,23100,1018.18
23100,23400,1018.38
23400,23700,1018.16
23700,24000,1018.35
24000,24300,1018.54
24300,24600,1018.31
24600,24900,1018.50
24900,25200,1018.26
25200,25500,1018.44
25500,25800,1018.21
25800,26100,1018.38
26100,26400,1018.12
26400,26700,1018.30
26700,27000,1018.05
27000,27300,1018.22
27300,27600,1017.97
27600,27900,1018.13
27900,28200,1017.88
28200,28500,1018.04
28500,28800,1017.78
28800,29100,1017.94
29100,29400,1017.68
29400,29700,1017.83
29700,30000,1017.98
30000,30300,1017.71
30300,30600,1017.86
30600,30900,1017.59
30900,31200,1017.74
31200,31500,1017.46
31500,31800,1017.60
31800,32100,1017.32
32100,32400,1017.46
32400,32700,1017.18
32700,33000,1017.30
33000,33300,1017.01
33300,33600,1017.14
33600,33900,1016.86
33900,34200,1016.99
34200,34500,1016.69
34500,34800,1016.82
34800,35100,1016.53
35100,35400,1016.65
35400,35700,1016.78
35700,36000,1016.48
36000,36300,1016.60
36300,36600,1016.30
36600,36900,1016.42
36900,37200,1016.12
37200,37500,1016.23
37500,37800,1015.93
37800,38100,1016.04
38100,38400,1015.74
38400,38700,1015.85
38700,39000,1015.54
39000,39300,1015.64
39300,39600,1015.33
39600,39900,1015.44
39900,40200,1015.13
40200,40500,1015.24
40500,40800,1014.93
40800,41100,1015.03
41100,41400,1015.14
41400,41700,1014.83
41700,42000,1014.94
42000,42300,1014.62
42300,42600,1014.73
42600,42900,1014.42
42900,43200,1014.52
43200,43500,1014.21
43500,43800,1014.32
43800,44100,1014.00
44100,44400,1014.11
44400,44700,1013.79
44700,45000,1013.90
45000,45300,1013.59
45300,45600,1013.69
45600,45900,1013.36
45900,46200,1013.47
46200,46500,1013.16
46500,46800,1013.26
46800,47100,1013.37
47100,47400,1013.06
47400,47700,1013.17
47700,48000,1012.86
48000,48300,1012.97
48300,48600,1012.66
48600,48900,1012.78
48900,49200,1012.47
49200,49500,1012.58
49500,49800,1012.28
49800,50100,1012.39
50100,50400,1012.09
50400,50700,1012.21
50700,51000,1011.91
51000,51300,1012.03
51300,51600,1011.73
51600,51900,1011.85
51900,52200,1011.53
52200,52500,1011.66
52500,52800,1011.78
52800,53100,1011.49
53100,53400,1011.62
53400,53700,1011.32
53700,54000,1011.46
54000,54300,1011.17
54300,54600,1011.30
54600,54900,1011.02
54900,55200,1011.15
55200,55500,1010.87
55500,55800,1011.01
55800,56100,1010.73
56100,56400,1010.87
56400,56700,1010.60
56700,57000,1010.75
57000,57300,1010.47
57300,57600,1010.62
57600,57900,1010.35
57900,58200,1010.51
58200,58500,1010.24
58500,58800,1010.38
58800,59100,1010.54
59100,59400,1010.28
59400,59700,1010.44
59700,60000,1010.19
60000,60300,1010.35
60300,60600,1010.10
60600,60900,1010.27
60900,61200,1010.02
61200,61500,1010.20
61500,61800,1009.96
61800,62100,1010.13
62100,62400,1009.89
62400,62700,1010.08
62700,63000,1009.84
63000,63300,1010.03
63300,63600,1009.80
63600,63900,1009.99
63900,64200,1009.76
64200,64500,1009.95
64500,64800,1010.15
64800,65100,1009.93
65100,65400,1010.11
65400,65700,1009.89
65700,66000,1010.10
66000,66300,1009.89
66300,66600,1010.10
66600,66900,1009.89
66900,67200,1010.10
67200,67500,1009.90
67500,67800,1010.11
67800,68100,1009.91
68100,68400,1010.14
68400,68700,1009.94
68700,69000,1010.16
69000,69300,1009.97
69300,69600,1010.20
69600,69900,1010.01
69900,70200,1010.25
70200,70500,1010.48
70500,70800,1010.30
70800,71100,1010.54
71100,71400,1010.36
71400,71700,1010.58
71700,72000,1010.41
72000,72300,1010.65
72300,72600,1010.48
72600,72900,1010.73
72900,73200,1010.57
73200,73500,1010.82
73500,73800,1010.65
73800,74100,1010.91
74100,74400,1010.75
74400,74700,1011.01
74700,75000,1010.85
75000,75300,1011.12
75300,75600,1010.96
75600,75900,1011.23
75900,76200,1011.50
76200,76500,1011.34
76500,76800,1011.62
76800,77100,1011.47
77100,77400,1011.74
77400,77700,1011.60
77700,78000,1011.87
78000,78300,1011.71
78300,78600,1011.99
78600,78900,1011.85
78900,79200,1012.13
79200,79500,1011.99
79500,79800,1012.27
79800,80100,1012.13
80100,80400,1012.42
80400,80700,1012.28
80700,81000,1012.57
81000,81300,1012.44
81300,81600,1012.72
81600,81900,1013.01
81900,82200,1012.88
82200,82500,1013.17
82500,82800,1013.04
82800,83100,1013.33
83100,83400,1013.20
83400,83700,1013.50
83700,84000,1013.37
84000,84300,1013.66
84300,84600,1013.53
84600,84900,1013.81
84900,85200,1013.68
85200,85500,1013.97
85500,85800,1013.85
85800,86100,1014.14
86100,86400,1014.02
